1,1041,6331,1986,34,Erenburg,Ilia,"Lidé, roky, život",
1,639,3976,1972,34,Erenburg,Ilia,Pád Paříže,
1,783,6590,1989,26,Erismann,Guy,Cesta francouzského šansonu,
1,611,3871,1971,19,Erskine,John,Soukromý život Heleny Trojské,
1,777,5418,,26,Erskine,John,Začátek cesty,
1,716,5246,1978,20,Ebner-Eschenbach,Marie von,Štědrý večer slečny Zuzanky,
1,1118,6538,1989,25,Exupéry,Antonie de Saint-,Noční let,
1,809,5493,,28,Exupéry,Antonie de Saint-,Malá Planeta,
1,1047,6347,1987,30,Fadějev,Alexandr,Mladá garda,
1,685,5063,1975,25,Tarchetti,Iginio Ugo,Fosca,
1,489,,,20,Faulkner,William,"Absolone, Absolone",
1,1008,6152,1986,27,Faulkner,William,Město,
1,391,3959,,19,Faulkner,William,Růže pro Emilii,
1,436,,,5,Faulkner,William,Mink,
1,1353,7589,1976,0,Fedin,Konstantin,Města a roky,
1,666,5014,1975,32,Fedin,Konstantin,První radosti,
1,1065,6393,,29,Massimo,Felisatti,Římské aféry 1,
1,111,,,15,Ferlinghetti,Lawrence,Smutná nahá jezdkyně,
1,1181,7172,1990,39,Féval,Paul,Hrbáč,
1,577,3796,1970,24,Feuchtwanger,Lion,Bláznova moudrost,
1,718,5254,1979,29,Feuchtwanger,Lion,Bratři Leutensackové,
1,520,3596,,19,Feuchtwanger,Lion,Desdemonin dům,
1,520,3595,1969,19,Feuchtwanger,Lion,Desdemonin dům,
1,1067,6400,1987,25,Feuchtwanger,Lion,Ďábel ve Francii,
1,807,5487,,36,Feuchtwanger,Lion,Goya,
1,490,,,22,Feuchtwanger,Lion,Goya,
1,533,3661,1969,29,Feuchtwanger,Lion,Goya,
1,802,5478,1981,36,Feuchtwanger,Lion,Goya,
1,506,,1968,36,Feuchtwanger,Lion,Lišky na vinici,
1,1320,7556,1964,0,Feuchtwanger,Lion,Oppermannové,
1,465,,,19,Feuchtwanger,Lion,Oppermannové,
1,464,,,19,Feuchtwanger,Lion,Oppermannové,
1,466,,,19,Feuchtwanger,Lion,Oppermannové,
1,456,,,10,Feuchtwanger,Lion,Ošklivá vévodkyně,
1,1258,7392,,10,Feuchtwanger,Lion,Ošklivá vévodkyně Markéta Pyskatá,
1,425,425,,20,Feuchtwanger,Lion,Synové,
1,623,3910,,24,Feuchtwanger,Lion,Šimona,
1,1321,7557,1957,0,Feuchtwanger,Lion,Vyhnanství,
1,426,,,21,Feuchtwanger,Lion,Zaslíbená země,
1,455,,,23,Feuchtwanger,Lion,Žid Süss,
1,424,,,20,Feuchtwanger,Lion,Židovská válka,
1,471,,,23,Feuchtwanger,Lion,Židovka z Toleda,
1,206,5994,1985,27,Ferlinghetti,Lawrence,"Čtu báseň, která nekončí",
1,861,5673,1983,32,Fitzgerald,Francis Scott,Takový pěkný pár,
